,blockid,dist_dtown,lg_den_parc,lg_den_finsqft,dum_400m,dum_800m,dum_1200m,dum_1600m,dum_2400m,dum_3200m,dum_4800m,dum_6400m,dum_8000m,year
0,1,47819,-6.1807375,-4.022375,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
1,2,47891,-5.9512196,-3.8738515,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
2,12,46039,-4.8593307,-2.5782971,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
3,14,46052,-4.1929016,-2.229114,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
4,17,45876,-4.495711,-2.522583,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
5,18,45768,-5.163686,-2.8965144,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
6,19,45448,-5.1307497,-2.6872258,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
7,50,42901,-5.913234,-3.7548716,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
8,51,42653,-6.435308,-4.521494,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
9,52,42546,-6.222274,-4.2136736,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
10,76,39902,-6.2705593,-4.13068,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
11,77,40565,-6.3699403,-4.121967,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
12,97,45527,-6.6379848,-4.3755336,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
13,104,43006,-6.07765,-3.9842281,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
14,109,41742,-6.4120216,-4.230178,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
15,111,40938,-5.88353,-3.7324667,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
16,113,40071,-6.278568,-4.1024766,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
17,120,44367,-6.75543,-4.591078,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
18,124,46102,-5.8116803,-3.7397983,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
19,127,45539,-5.5903444,-3.3047874,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
20,130,44715,-5.7290864,-3.6627603,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
21,137,42622,-6.3907275,-4.0233717,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
22,157,48851,-6.484758,-4.3324695,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
23,159,49387,-5.4358125,-3.2912383,1,0,0,0,0,0,0.0,0.0,0.0,1890.0
